NAME,Total,White,Black,Asian,Latino,state,White Avg,Black Avg,Asian Avg,Latino Avg
Kansas,2853118.0,2391044.0,167864.0,67762.0,80110.0,20,83.80459553372836,5.883528126071196,2.3750156845948887,2.8078053554041578
Maine,1328361.0,1264971.0,15707.0,13571.0,19734.0,23,95.2279538468835,1.1824345942104595,1.0216349320704237,1.485590137018476
Maryland,5773552.0,3359284.0,1700298.0,318853.0,149827.0,24,58.184008735004035,29.449773726814964,5.5226487957499995,2.595057600589724
Massachusetts,6547629.0,5265236.0,434398.0,349768.0,159119.0,25,80.4143912246708,6.634432097481394,5.3419031530344805,2.4301773970394476
Michigan,9883640.0,7803120.0,1400362.0,238199.0,213375.0,26,78.9498605776819,14.168484485472963,2.4100331456831694,2.1588706185170645
Minnesota,5303925.0,4524062.0,274412.0,214234.0,115265.0,27,85.29649269173301,5.173753399605009,4.039159678917029,2.17320192121872
Mississippi,2967297.0,1754684.0,1098385.0,25742.0,31850.0,28,59.134087352900636,37.0163485488645,0.8675235407847613,1.0733674451866464
Missouri,5988927.0,4958770.0,693391.0,98083.0,116456.0,29,82.79897216980604,11.577883650944484,1.6377391142019262,1.9445219485894554
Montana,989415.0,884961.0,4027.0,6253.0,23672.0,30,89.44285259471506,0.4070081816022599,0.6319896100220838,2.392524875810454
Nebraska,1826341.0,1572838.0,82885.0,32293.0,36860.0,31,86.11962388184901,4.53830911094916,1.76818020293034,2.018243033475129
Nevada,2700551.0,1786688.0,218626.0,195436.0,113875.0,32,66.1601280627546,8.095607155724888,7.236893508028547,4.216732066900422
New Hampshire,1316470.0,1236050.0,15035.0,28407.0,20046.0,33,93.89123945095596,1.1420693217467925,2.1578159775763974,1.5227084551869772
New Jersey,8791894.0,6029248.0,1204826.0,725726.0,223761.0,34,68.5773509098267,13.703827639414214,8.254489874422962,2.5450830048678927
New Mexico,2059179.0,1407876.0,42550.0,28208.0,72362.0,35,68.37074387413624,2.06635751432974,1.369866339934508,3.514118976543564
New York,19378102.0,12740974.0,3073800.0,1420244.0,542905.0,36,65.74933912516303,15.86223459862065,7.3291181974374995,2.8016417706956025
North Carolina,9535483.0,6528950.0,2048628.0,208962.0,189844.0,37,68.47005023237942,21.484260419739616,2.1914149498247757,1.9909216974116568
North Dakota,672591.0,605449.0,7960.0,6909.0,11251.0,38,90.01741028351555,1.183482978511458,1.027221595293425,1.6727847978935193
Ohio,11536504.0,9539437.0,1407681.0,192233.0,219767.0,39,82.68914915645156,12.201972105240895,1.6663020270265585,1.904970517931602
Oklahoma,3751351.0,2706845.0,277644.0,65076.0,209404.0,40,72.15653773800426,7.401173603856318,1.734735032792186,5.5820956236833075
Oregon,3831074.0,3204614.0,69206.0,141263.0,132874.0,41,83.6479274480211,1.8064386122533787,3.687294998739257,3.468322459968145
Pennsylvania,12702379.0,10406288.0,1377689.0,349088.0,219364.0,42,81.92392936787668,10.845913194685815,2.7482096070350286,1.7269520929898248
Rhode Island,1052567.0,856869.0,60189.0,30457.0,31455.0,44,81.40754935315282,5.718305818061938,2.8935925219012186,2.9884083388515883
South Carolina,4625364.0,3060000.0,1290684.0,59051.0,74382.0,45,66.15695543096717,27.90448492270014,1.276677900377138,1.6081328950543137
South Dakota,814180.0,699392.0,10207.0,7610.0,16392.0,46,85.90139772531873,1.2536539831486895,0.9346827482866197,2.0133140091871575
