state_name,Total state ethnicity,White Avg,Black Avg,Asian Avg,Latino Avg,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
Oklahoma,3751351.0,72.15653773800426,7.401173603856317,1.7347350327921862,5.582095623683308,3785742.0,36.2,45339.0,24208.0,618683.0,16.34245017225157
Oregon,3831074.0,83.6479274480211,1.8064386122533789,3.6872949987392567,3.468322459968145,3868721.0,38.7,50229.0,26809.0,614778.0,15.890988262012177
Pennsylvania,12702379.0,81.9239293678767,10.845913194685817,2.7482096070350286,1.7269520929898248,12731381.0,40.3,52548.0,28502.0,1638820.0,12.872287774594133
Rhode Island,1052567.0,81.4075493531528,5.718305818061937,2.893592521901218,2.9884083388515883,1051695.0,39.6,56361.0,30469.0,137244.0,13.049791051588151
South Carolina,4625364.0,66.15695543096717,27.904484922700142,1.276677900377138,1.6081328950543137,4679602.0,38.1,44779.0,23943.0,820308.0,17.529439469424965
South Dakota,814180.0,85.90139772531873,1.2536539831486897,0.9346827482866196,2.013314009187157,825198.0,36.9,49495.0,25740.0,112086.0,13.582921916921757
Tennessee,6346105.0,77.5585654507765,16.660849450174556,1.4377637936970789,1.6257688771301453,6402387.0,38.2,44298.0,24409.0,1101732.0,17.20814439989335
Texas,25145561.0,70.39632959471454,11.849399581898373,3.836048835816389,2.555210440522683,25639373.0,33.8,51900.0,26019.0,4416829.0,17.226743415293345
Utah,2763885.0,86.09475430417692,1.0596316416927622,2.000264120974643,2.5370447757413928,2813673.0,29.6,58821.0,23873.0,350205.0,12.446542295426655
Vermont,625741.0,95.29373974216172,1.0031306882560038,1.2700142710802074,1.620958191967603,625904.0,42.0,54267.0,29167.0,70873.0,11.323301976021886
Virginia,8001024.0,68.57687216036348,19.39000557928585,5.497921266077942,2.6781072022781087,8100653.0,37.5,63907.0,33493.0,887595.0,10.957079632962923
Washington,6724540.0,77.27460911824451,3.569641938333328,7.1539019769382,4.19882995714205,6819579.0,37.3,59478.0,30742.0,893211.0,13.09774401029741
West Virginia,1852994.0,93.90143734950031,3.4065949484995626,0.6695110723510168,1.384246252281443,1853619.0,41.5,41043.0,22966.0,321546.0,17.346930518083813
Wisconsin,5686986.0,86.19797903494047,6.315260842913978,2.2724515235310934,1.714651662585419,5706871.0,38.7,52413.0,27523.0,723730.0,12.68173049644893
Wyoming,563626.0,90.7124582613293,0.8424025861120673,0.7852725033976431,2.088264203567614,570134.0,36.8,57406.0,28902.0,63743.0,11.180354092195868
Puerto Rico,3725789.0,75.82554997075786,12.386584425473368,0.18334371592164767,2.9396994837871926,3682966.0,37.5,19624.0,11068.0,1644128.0,44.641411297307656
